steam_id,display_name,internal_name,version,translators,note
2877898368,Petrified Voodoo Doll,PetrifiedVoodooDoll,1.2.1,ぽぷのべり,
2803799129,Pings,Pings,0.3.0.3,Hurugitune,すべて翻訳済み
2806899404,Player Swap,PlayerSwapper,0.4,ぽぷのべり,
2820025575,Pylons Prevent Evils,PylonShield,1.9.1,ぽぷのべり,
2797518634,Quality of Terraria,ImproveGame,1.8.1.1,hazamax405,大規模修正しました(Taccom368)
3419141018,Quite Enough Recipes,QuiteEnoughRecipes,1.1.5,ぽぷのべり,バージョン更新有り、一部設定項目が未翻訳(ぽぷのべり)
3114886209,Ragnarok,RagnarokMod,1.4.3.2,Hurugitune,全て翻訳済み。ほとんど推敲済み。
2981525206,Rain Overhaul,RainOverhaul,1.7,ぽぷのべり,
3400340796,Rare Drop Notification,RareDropNotification,1.3,HAKU,バージョン更新有り、一部未翻訳(ぽぷのべり)
2619954303,Recipe Browser,RecipeBrowser,,sysnote8,
3301034468,Remember To Drink Water!,DrinkWatar,0.1,Hurugitune,全て翻訳済み
2861542679,Remnants,Remnants,1.5.41,Hurugitune,バージョン更新有り、設定項目など一部未翻訳(ぽぷのべり)
3168223097,Roommates,Roommates,3.2.0.1,ぽぷのべり,
2975417797,Shared Health,CombinedHealth,1.3.0,Hurugitune,すべて翻訳済み
2815010161,Shared World Map,SharedMap,0.1.4.3,Hurugitune,すべて翻訳済み
2925184535,Shirasagi's VOICEROID Skin Mod,ShirasagiMod,2.0.2,ぽぷのべり,
2828370879,Shop Expander,ShopExpander,1.8.0,Hurugitune,すべて翻訳済み(Hurugitune)、　バージョン情報を更新(1.5.0 → 1.8.0)ぽぷのべり
2562997415,Shorter Respawn Time,ShorterRespawn,,katudonsan,翻訳時のバージョン不明、一部未翻訳(ぽぷのべり)
3138615548,Spear Rework Mod,SpearMod,1.0.2,ぽぷのべり,
3273327692,Starting Class Weapons,StartingClassWeapons,0.1.7,Hurugitune,全て翻訳済み。推敲済み。(Hurugitune)　バージョン情報を更新(0.1.6 → 0.1.7) (ぽぷのべり)
2979448082,Summoner UI (Latest Stable Release),SummonsUI,1.3.3,Hurugitune,全て翻訳済み。推敲済み。(Hurugitune)　バージョン情報を更新(1.3.2 → 1.3.3) (ぽぷのべり)
2563098343,Team Spectate,TeamSpectate,2.6.2,katudonsan,済
2799559538,Terrarchitect,Terrarchitect,1.7.0.1,ぽぷのべり,
2811803870,Terraria Overhaul (Configuration Update!),TerrariaOverhaul,5.0.0.38,まめ,
3418805352,TerraTCG,TerraTCG,1.2.0,katudonsan,すべて翻訳済み
3309069289,Teto Vanity Sets - Now with Kasane Teto NPC!,TetoVanitySets,1.21.9.2,ぽぷのべり,バージョン更新有り、一部未翻訳(ぽぷのべり)
2563277843,The Clicker Class,ClickerClass,1.4.1.2,ぽぷのべり,仮翻訳
3219030425,The Spotlight - 聚光灯,Spotlight,1.0.2,ぽぷのべり,
2563862309,The Stars Above,StarsAbove,2.1.3.0,ユウ,バージョン更新有り、一部未翻訳(ぽぷのべり)
2824879484,The Story of Red Cloud,tsorcRevamp,0.15.18.6,katudonsan,現在The Story of Red Cloudブランチで翻訳中
3070717963,Thorium Bosses Reworked,ThoriumRework,0.9.4,Hurugitune,バージョン更新有り、一部未翻訳(ぽぷのべり)
2909886416,Thorium Mod,ThoriumMod,1.7.2.3,Hurugitune,ブロック以外は全て翻訳済み。ほとんど推敲済み。
2789445751,Tokens,Tokens,1.6.1,ぽぷのべり,
3014421997,True Tooltips,TrueTooltips,2024.3.2.2,TwelveYO21,翻訳完了。
3123513619,Underground Mana Crystals,CaveMana,1.1.2,ぽぷのべり,
2618902706,Unlimited Fishing Quests,UnlimitedFishingQuests,1.2.1,ぽぷのべり,
3142064272,Unofficial Calamity Bard & Healer,CalamityBardHealer,0.9.6,Hurugitune,バージョン更新有り、一部アイテムの性能が異なる可能性があります(ぽぷのべり)
2839001756,Unofficial Calamity Whips,UnofficialCalamityWhips,1.1.6,hazamax405,
3171414096,Unofficial Thorium Calamity Lore Items,ThoriumLore,1.8,Hurugitune
2816188633,Vanilla Calamity Mod Music,UnCalamityModMusic,2.0.0.1,Hurugitune,全て翻訳済み
2871665851,Verdant,Verdant,1.2.6.5,まめ,バージョン更新有り、一部未翻訳の可能性(ぽぷのべり)
2827634634,Where's My Items,WheresMyItems,0.7.0.2,ぽぷのべり,
2563851005,Which Mod Is This From? (WMITF),WMITF,2.7.1,katudonsan,バージョン情報を記載(ぽぷのべり)
